DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2017.01.19,1204.57,1206.41,1195.79,1204.73,155941,127369078,19
2017.01.20,1204.60,1214.87,1198.53,1209.94,146157,110694192,21
2017.01.23,1210.98,1219.39,1209.19,1217.80,140358,107355504,18
2017.01.24,1219.00,1219.40,1206.52,1208.67,100602,81735730,18
2017.01.25,1209.31,1209.73,1193.22,1199.60,108302,92917282,19
2017.01.26,1200.67,1202.52,1184.31,1188.38,119209,98216215,24
2017.01.27,1189.02,1191.59,1180.48,1191.49,124536,113328963,24
2017.01.30,1192.87,1199.33,1188.20,1195.20,141904,110715620,24
2017.01.31,1195.28,1215.23,1193.65,1210.36,164411,133821569,24
2017.02.01,1210.48,1213.14,1198.10,1209.70,165205,143872816,24
2017.02.02,1208.91,1225.21,1208.26,1215.74,174513,127934828,24
2017.02.03,1214.92,1221.31,1207.00,1219.95,142672,115932755,24
2017.02.06,1222.26,1235.55,1219.11,1235.45,148432,122901026,20
2017.02.07,1234.33,1235.71,1227.68,1233.49,139312,129287243,24
2017.02.08,1233.76,1244.64,1229.99,1241.68,143583,128434156,24
2017.02.09,1240.85,1244.44,1225.40,1227.53,131164,121663125,24
2017.02.10,1228.48,1237.04,1221.57,1233.68,135270,116349441,24
2017.02.13,1230.76,1232.22,1219.26,1225.20,108526,103009217,24
2017.02.14,1225.23,1234.42,1221.84,1228.57,119784,105215242,24
2017.02.15,1228.39,1233.16,1216.64,1232.81,98959,86069213,24
2017.02.16,1233.43,1242.30,1231.99,1239.01,113850,92331404,24
2017.02.17,1238.66,1243.71,1234.24,1234.83,99356,79331953,24
2017.02.20,1235.66,1238.89,1232.70,1237.42,53883,47429322,24
2017.02.21,1237.07,1238.75,1226.04,1235.75,86656,70916974,24
2017.02.22,1235.82,1240.54,1231.14,1237.45,105695,92230315,24
2017.02.23,1236.83,1251.03,1235.69,1249.19,100511,64995482,24
2017.02.24,1249.35,1260.05,1247.68,1256.98,81651,61815285,24
2017.02.27,1256.22,1263.79,1250.91,1252.70,89506,72701055,24
2017.02.28,1252.56,1258.32,1247.58,1248.00,82704,52313614,24
2017.03.01,1248.50,1250.57,1236.86,1249.23,134415,84407867,24
2017.03.02,1248.49,1248.92,1230.93,1234.17,86241,56502618,24
2017.03.03,1234.20,1236.21,1222.84,1234.42,96769,62990815,24
2017.03.06,1233.17,1236.76,1224.81,1225.18,78325,52406760,24
2017.03.07,1225.58,1227.12,1214.12,1215.72,71988,47793752,24
2017.03.08,1215.85,1218.49,1206.59,1207.75,74632,47598127,24
2017.03.09,1208.26,1208.92,1199.17,1200.24,95199,62163970,24
2017.03.10,1200.80,1206.25,1194.91,1204.43,100924,68000720,24
2017.03.13,1206.11,1211.11,1202.39,1203.70,66176,44401491,24
2017.03.14,1202.07,1207.53,1197.23,1198.47,74402,49014280,24
2017.03.15,1199.11,1221.97,1197.47,1218.59,86424,55713910,24
2017.03.16,1218.88,1233.67,1218.54,1226.01,80643,46888583,24
2017.03.17,1226.43,1231.60,1224.42,1229.25,64890,40735398,24
2017.03.20,1230.53,1235.45,1229.29,1234.12,56183,33438735,24
2017.03.21,1234.42,1247.53,1226.82,1244.85,81053,46912582,24
2017.03.22,1245.36,1251.23,1243.89,1248.78,90917,53781470,24
